"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
560.570892839219,1.68959214645023,0.119477388423439,14.1415222473909,2.10677295821953e-45,1.66529868482463e-41
720.240121472169,1.55333927635862,0.109539723727017,14.1806024655465,1.20804956707771e-45,1.66529868482463e-41
2515.89895728317,-1.24795210425632,0.0910022419477444,-13.7134215327676,8.43828377286414e-43,4.44669427217364e-39
269.854935582262,2.9897090009596,0.219254670690514,13.6357824968741,2.45345007453947e-42,9.69664805709863e-39
10236.313275927,1.19773985846644,0.0908562743278902,13.182797416323,1.1022648097988e-39,3.48514087562186e-36
3873.75358504483,1.00745230400948,0.0805372322703221,12.5091498131942,6.6532502127552e-36,1.50258903733496e-32
159.911179444086,2.93192258537702,0.235970564342289,12.4249505168115,1.91344787135979e-35,3.78121217479087e-32
1132.04067817458,1.14409458673632,0.0978580892354619,11.6913644612807,1.41101293714179e-31,2.23067035232746e-28
1761.79560577042,1.2498951929112,0.10814124736725,11.557987570335,6.72667424447878e-31,9.66745392099682e-28
25726.4609214271,1.10213204056706,0.0974369177709261,11.3112367035066,1.15450658992524e-29,1.40396882154832e-26
2115.87438721216,1.61558618311613,0.143515337722528,11.2572370922452,2.13342891130692e-29,2.40909840420365e-26
2958.82784461198,1.41935328818941,0.128615992855542,11.0355894059271,2.57358506871384e-28,2.71238709008648e-25
439.042960513637,1.67879818422976,0.154172467424429,10.8890920167225,1.2992917265888e-27,1.28378143160264e-24
5011.64322222286,1.50227893473881,0.139913772644253,10.7371769508248,6.80948180200398e-27,6.33241751811064e-24
3125.46751058455,1.22640740678399,0.115668593783376,10.6027692277542,2.8928510335895e-26,2.54072677722313e-23
1809.98134659529,-1.10209158194326,0.105307574662256,-10.4654540328927,1.24478333068389e-25,1.03572524604114e-22
407.232748641847,1.54584302817603,0.152496166146014,10.1369304372931,3.78816131489842e-24,2.72213828305587e-21
4037.60882264915,1.0606707111057,0.105547149526888,10.049259651825,9.25601742687802e-24,6.36210345658759e-21
1467.49685769689,1.22076784181144,0.126432757789745,9.65547112277297,4.66012273611201e-22,3.06966168063311e-19
1679.9740362902,1.01938739665981,0.107396496192578,9.49181242218458,2.27051660540453e-21,1.2798029458796e-18
134.880541816158,2.23798956050561,0.235680789299426,9.49585058314747,2.18420817839538e-21,1.2798029458796e-18
646.159792949032,1.41276321738625,0.149700530229873,9.43726261501464,3.82645067582139e-21,1.95136641077614e-18
570.013042426591,-1.26056337211431,0.135730111178067,-9.2872787119474,1.58283338113224e-20,7.81969153822485e-18
465.263075733914,-1.32029483833918,0.143166835176908,-9.22207183463767,2.91414125263044e-20,1.39605027463135e-17
5184.69603020122,-1.02464600707968,0.111410010942624,-9.19707303150138,3.67832459800398e-20,1.71031275205426e-17
1864.43013856581,1.15342958389501,0.126936647273991,9.08665549835545,1.02132378388213e-19,4.6131736283979e-17
2058.19532400865,1.01304090426092,0.113003298438112,8.96470207739758,3.11120775662799e-19,1.3293265790414e-16
